Generic Name,Brand,FUKKM System/Group,MDC,NEML,Method of Purchase,Category,Indications,Prescribing Restrictions,Dosage,Adverse Reaction,Contraindications,Interactions,Precautions,is_quota
Lactulose 3.35g/5 ml Liquid,,Alimentary Tract and Metabolism > Drugs for Constipation,A06AD11-000-L50-01-XXX,Yes,Government Contract,C+,i) Constipation ii) Hepatic encephalopathy,None,"i) ADULT 15-45 ml daily in 1-2 divided doses adjusted to patient's need. Maintenance dose: 15-30ml daily in 1-2 divided doses. CHILD 0.5 ml/kg/dose once or twice daily. ii) ADULT: 30-45 ml 2-4 times daily, dose adjusted to produce 2-3 soft stools daily. CHILD: 1 ml/kg/dose 3-4 times daily.","Flatulence, cramps and abdominal discomfort","Galactosaemia, intestinal obstruction",Response may be altered by anti-infective agents,"Diabetics, patients with lactose intolerance, pregnancy, lactation",False
Levodopa 100 mg and Carbidopa 25 mg Tablet,Sinemet,Nervous System > Anti-parkinson Drugs,N04BA02000T1001XX,Yes,APPL,B,Parkinson's disease,None,"Patients not receiving Levodopa before, initially 100 - 125 mg 3 - 4 times daily adjusted according to response. Maintenance: 0.75 - 2 g in divided doses. In patients previously treated with Levodopa the dose should be about 20 - 25% of the dose previously being taken","Central nervous system: Anxiety, confusion, nervousness, mental depression, psychotic symptoms. Anorexia, nausea and vomiting, diarrhoea, insomnia, agitation, postural hypotension, dizziness, chest pain, tachycardia, arrhythmias, reddish discoloration of urine and other body fluid. Dyskinesia, muscle twitching and blepharospasm may be taken as early signs to consider dosage reduction. Gastrointestinal bleeding, development of duodenal ulcer, dark saliva, leukopenia, hemolytic and non-hemolytic anaemia, thrombocytopenia, agranulocytosis, angioedema, urticaria, pruritus, paraesthesia, increased libido, dyspnoea, alopecia, rash, dark sweat, dark urine","Hypersensitivity to this drug. Patient on MAOIs therapy or 2 weeks prior to initiating therapy. May be administered concomitantly with or an MAOI with or selectivity for MAO type B (eg selegiline HCl). Narrow-angle glaucoma with compensated endocrine, renal or hepatic function, cardiac disorders, psychiatric diseases or closed-angle glaucoma, undiagnosed skin lesion, melanoma, pregnancy","Hypertensive crisis with MAOIs, increased hypotensive effect with antihypertensives, antagonism effect of antipsychotic, reduced absorption by iron, plasma concentration increased by metoclopramide. Linezolid, clonidine, anticholinergics, tricylic antidepressant, phenothiazines, phenytoin, papaverine, selegiline and high protein diet","Not recommended for treatment of drug-induced extrapyramidal reactions. The occurrence of dyskinesias in patients previously treated with levodopa alone may require dosage reduction. All patients should be observed carefully for the development of depression with concomitant suicidal tendencies. Cardiovascular disease or pulmonary disease, bronchial asthma. Hepatic impairment, renal impairment, endocrine disease, chronic wide-angle glaucoma. Observe carefully when the dosage is reduced abruptly or discontinued, especially if the patient is receiving neuroleptics. Pregnancy, women of childbearing potential. Not recommended in patients less than 18 years",False
Gliclazide 80 mg Tablet,,Alimentary Tract and Metabolism > Drugs Used In Diabetes,A10BB09000T1001XX,Yes,APPL,B,Diabetes mellitus type 2,None,"Initially 40-80mg daily. A single dose should not exceed 160mg and when higher doses are required, a twice daily split dosage is advised and should be divided. Maximum daily dose: 320mg. For elderly, starting dose should be 40mg twice daily.","Nausea, vomiting, heartburn, anorexia, diarrhoea, metallic taste, increased appetite, weight gain, skin rashes, pruritus, hypoglycemia, hypersensitivity. Infrequently, SIADH","Type 1 diabetes mellitus, pregnancy and lactation, diabetic ketoacidosis, diabetics undergoing surgery, diabetic coma, diabetic precoma, hyperosmolar nonketotic coma, after severe burns or trauma, or during infections, hypersensitivity, severe renal or hepatic insufficiency, treatment with miconazole","Alcohol (causing disulfiram-like reaction) Drugs that potentiate hypoglycaemic effect: Coumarins, sulphonamides, salicylates, phenylbutazone, beta blockers, MAOIs, ketoconazole, miconazole Drugs that diminish hypoglycaemic effect: Thiazide diuretics, corticosteroids and oestrogens","Paediatric, excessive exercise, severe diarrhoea, severe gastroparesis, intestinal obstruction, prolonged vomiting, hyperglycaemia, hyperthyroidism, hypoglycaemia, hypothyroidism, renal impairment, hepatic impairment, intercurrent infections, traumas, shock, after anaesthesia, major surgery",False
Escitalopram 10mg Tablet,Lexapro,Nervous System > Psychoanaleptics,N06AB10-124-T10-01-XXX,Yes,Government Contract,B,i) Major depression ii) Treatment of panic disorder with or without agoraphobia iii) Treatment of social anxiety disorder (social phobia) iv) Treatment of obsessive-compulsive disorder (OCD) v) Treatment of generalised anxiety disorder,None,"i) Initial: 10mg once daily. Increase gradually if necessary up to a maximum of 20mg daily ii) Initial: 5mg daily for the first week and then increase to 10mg daily Increase if necessary up to a maximum of 20mg daily ELDERLY Initial: half the adult dose, lower maximum dose should be considered iii) Usual dose: 10mg once daily Adjust as necessary based on patient response to either 5mg or up to a maximum of 20mg daily iv) & v) Usual dose: 10mg once daily Adjust as necessary based on patient response up to a maximum of 20mg daily Dosing is individualised and according to product insert/ protocol. Should not be used in patients under 18 years old. If, based on clinical need, a decision to treat is nevertheless taken; the patient should be carefully monitored for appearance of suicidal symptoms.","Dizziness, headache, nausea, sweating, somnolence, insomnia, constipation, diarrhoea, increase or decreased appetite, sexual dysfunction, fatigue, pyrexia, sinusitis, yawning, rash, Steven Johnson Syndrome, rhinitis, blurred vision, nasal congestion, prolactinemia, dry mouth, decrease prothrombin, hepatic failure, hypoglycemia, hypokalemia, suicidal ideation, diaphoresis, Syndrome of inappropriate antidiuretic hormone secretion (SIADH), ear ache, urinary tract infection, urinary frequency.",Concurrent use of MAOIs or within 14 days of discontinuing MAOS treatment,"MAOI, selegiline, lithium, tryptophan, agents that may lower seizure threshold, St John's Wort, omeprazole, high doses of cimetidine, drugs metabolised by CYP2D6 and CYP2C19 enzymes, alcohol, aspirin, NSAIDs, warfarin, carbamazepine, ketoconazole, linezolid, tramadol, metoprolol, 5 HT agonist, gingko, lamotrigine","Paradoxical anxiety, seizures, mania, diabetes, suicidal tendencies, hyponatraemia, haemorrhage, electroconvulsive therapy, reversible selective MAO-A inhibitors, serotonin syndrome, St John's Wort, lactation, renal and hepatic function impairment, abnormal bleeding, avoid abrupt discontinuation, may activate hypomania or mania, concomitant use of NSAIDs, work requiring mental alertness.",False
Budesonide 64mcg Nasal Spray,Rhinocort Aqua,Respiratory System > Nasal Preparations,R01AD05-000-A41-03-XXX,Yes,LP,A/KK,"Seasonal allergic, perennial rhinitis and nasal polyposis",None,ADULT and CHILD 6 years and older. Rhinitis : 2 spray into each nostril once daily in the morning or 1 spray into each nostril twice daily. Nasal polyps : 2 spray twice daily,"Nasal irritation, nose bleeding, dryness of throat, epistaxis, pharyngitis, cough, nasal irritation, bronchospasm, cataract, cushing's syndrome, glaucoma, secondary hypocortisolism","Severe nasal infection, recurrent nasal bleeding, hypersensitivity to budesonide products, status asthmaticus or other acute episodes of asthma","Erythromycin, clarithromycin, lansoprazole, amoxicillin, fluvoxamine, itraconazole, ketoconazole, protease inhibitors, voriconazole, cimetidine","Severe fungal and viral nasal infections, chronic use, liver cirrhosis, reduce liver function, pulmonary tuberculosis, glaucoma, adrenal suppression",True
Metformin HCl 500 mg Extended Release Tablet,Diabetmin XR,Alimentary Tract and Metabolism > Drugs Used In Diabetes,A10BA02-110-T50-01-XXX,Yes,APPL,B,Diabetes mellitus who experienced gastrointestinal side effects with normal metformin,"100 PT (KKS), 150 PT (KKBC, KKTS), 200 PT (KKTPG, KKTD, KKJ, KKB) (KUOTA)",500 mg once daily. Maximum dose 2000 mg once daily with evening meal,"Gastrointestinal disorders, taste disturbance/metallic taste. Rarely, decreased vitamin B12 absorption, lactic acidosis, skin reactions, liver function tests abnormalities NPRA Safety Alert 1. 27 Sept 2022 2. 4 Mac 2024 (updated) Vitamin B12 Deficiency","Hypersensitivity, diabetic ketoacidosis, diabetic precoma, renal failure (CrCl < 60ml/min), acute conditions with potential to alter renal function (e.g. dehydration, severe infection, shock), acute or chronic disease which may cause tissue hypoxia (e.g. cardiac or respiratory failure, recent myocardial infarction), hepatic insufficiency, alcohol, lactation","Alcohol, iodinated contrast agents, glucocorticoids, beta-2 agonists, diuretics, ACEIs","Renal failure (risk of lactic acidosis), administration of iodinated contrast agent (discontinue prior to radiologic exam and restart 48 hours afterwards), surgery (discontinue 48 hours prior to surgery and restart 48 hours afterwards), pregnancy NPRA Safety Alert 1. 4 Mac 2024 May reduce vitamin B 12 serum levels. (For full info, please refer package insert/related NPRA Safety Alert)",False
Insulin Aspart 100 IU/ml Injection,Novorapid,Alimentary Tract and Metabolism > Drugs Used In Diabetes,A10AB05000P3001XX,Yes,Government Contract,A/KK,Diabetic Type 1 and 2 in patients that still experienced hypoglycaemia with use of human insulin,Tertakluk kepada arahan surat Ketua Pengarah Kesihatan dengan no. ruj.: KKM.600-34/1/3 Jld.4(21) bertarikh 21 Ogos 2024 dan garis panduan berkaitan yang dikeluarkan dari semasa ke semasa.; 20 PT/KK,Dose to be individualised. The average daily insulin requirement is between 0.5 to 1.0 units/kg body weight,"Transient oedema, local reactions and fat hypertrophy at injection site, hypoglycaemia, hypokalaemia, generalized hypersensitivity","Hypersensitivity to insulin aspart and its components, hypoglycaemia","Oral hypoglycaemic agents, octreotide, MAOIs, alcohol, lithium, non selective beta blocker, ACE inhibitor, salicylates, anabolic steroids, glucocorticoids, oral contraceptives, sulphonamides, disopyramides, diuretics fibrates, fluoxetine, propoxyphene, thyroid hormone, symphatomimetics, danazol, niacin, isonazide, guanethidine, reserpine, clonidine, phenothiazine","Decreased insulin requirements due to hepatic or renal impairment, malabsorption, diarrhoea, nausea/vomiting, hypothyroidism hypokalaemia, stress due to fever, infection, surgery, trauma, systemic allergic reactions",True
Pre/Post Natal Vitamin & Mineral Capsule,-,Alimentary Tract and Metabolism > Vitamins,A11AA03903C1001XX,Yes,LP,C+,Vitamin and mineral supplement for use during pregnancy and lactation,None,1 capsule daily or based on individual requirements,Hypervitaminosis,Hypersensitivity to product components,"Pyridoxine will antagonise the therapeutic effect of Levodopa (should not be administered concurrently), vitamin B6 reduces the plasma levels of phenobarbitone and phenytoin, ascorbic acid increases plasma level of ethinyloestradiol",Severe renal or liver failure,False
Trimetazidine 20 mg Tablet,Vastarel,Cardiovascular System > Cardiac Therapy,C01EB15110T1001XX,No,Government Contract,B,Prophylactic treatment of episodes of angina pectoris,None,20 mg 3 times daily,Gastrointestinal disorders such as nausea and vomiting,Concomitant administration with MAOIs,Not known,"Pregnancy especially first trimester, unstable angina, hypertension, renal or hepatic insufficiency",False
Perindopril 4 mg and Indapamide 1.25 mg Tablet,Coversyl Plus,Cardiovascular System > Agents Acting on the Renin-angiotensin System,C09BA04-900-T10-01-XXX,No,Government Contract,B,"Essential hypertension, for patients whose blood pressure is insufficiently controlled by perindopril alone.",10PT /KK (KUOTA),"One tablet daily, preferably taken in the morning and before a meal.","Headache, asthenia, dizziness, sleep disturbances, cramps, hypotension, rash, gastrointestinal disturbances, slight reversible increase in urea and plasma creatinine, hypokalaemia, hyponatraemia with hypovolaemia, raised uric acid and blood glucose levels NPRA Safety Alert 1. 5 May 2022 Choroidal effusion, acute myopia, acute angle closure glaucoma","Hypersensitivity to other ACE inhibitors or sulphonamides. Bilateral renal artery stenosis or single functioning kidney, severe renal failure (creatinine clearance less than 30 mL/min), dialysis patients, hepatic encephalopathy, severe hepatic impairment, hyperkalaemia or hypokalaemia, untreated decompensated cardiac insufficiency. Previous history of angioneurotic oedema linked to treatment with ACE inhibitor, hereditary or idiopathic angioneurotic oedema. Pregnancy and lactation","Lithium, insulin, sulfonylureas, baclofen, NSAIDs, high dose salicylates, tricyclic antidepressants, neuroleptics, corticosteroids, tetracosactide, potassium-sparing diuretics, potassium salts, potassium-lowering drugs, anaesthesia, allopurinol, immunosuppressant, cardiac glycosides, procainamide and other drugs which cause torsades de pointes, antihypertensive drugs, metformin, calcium salts, ciclosporin, iodinated contrast media","Renal insufficiency especially when associated with systemic autoimmune collagen vascular diseases. Concomitant treatment with immunosuppressant or treatment causing leucopoenia. Marked sodium and water depletion, hypotension, chronic heart failure, cirrhosis with oedema and ascites, ischemic heart disease, cerebral circulatory insufficiency, severe cardiac insufficiency (grade IV) or IDDM patients. Monitor serum potassium regularly. Surgery, elderly, hyperaldosteronism, malnourishment, acute porphyria",False
Rosuvastatin 10 mg Tablet,Crestor,Cardiovascular System > Lipid Modifying Agents,C10AA07390T1002XX,No,LP,A/KK,Dyslipidaemia not responsive to atorvastatin 40mg or equivalent doses of other statins,"30 PT (KKBC, KKTS), 50 PT (KKS), 70 PT (KKTD), 80 PT (KKB), 100 PT (KKJ), 250 PT (KKTPG)  (KUOTA) ","Initially 5-10 mg once daily (5mg in patients with pre-disposing factors to myopathy), increased if necessary at intervals of at least 4 weeks to 20 mg once daily, increased after further 4 weeks to 40 mg daily ONLY in severe hypercholesterolemia with high cardiovascular risk. Patient of Asian origin, patients on concomitant ciclosporin/fibrate and patients with risk factors for myopathy/rhabdomyolysis (including personal/family history of muscular disorders/toxicity), the maximum dose should be 20 mg daily","Pharyngitis, headache, diarrhoea, dyspepsia, nausea, myalgia, asthenia, back pain, flu syndrome, urinary tract infection, rhinitis, sinusitis, altered liver function tests, paraesthesia, abdominal pain, flatulence, constipation and vomiting. Cognitive impairment (e.g. memory loss, forgetfulness, amnesia, memory impairment, confusion). Increase in HbA1c and fasting blood glucose NPRA Safety Alert 1. 27 May 2025 (Statins) Myasthenia Gravis / Ocular Myasthenia",Active liver disease including elevated serum transaminases more than 3 times upper limit of normal. Severe renal impairment (creatinine clearance less than 30 mL/min). Patients with myopathy. Patients receiving concomitant ciclosporin. Pregnancy and lactation,"Warfarin, vitamin K antagonists, ciclosporin, gemfibrozil, lopinavir/ritonavir, antacids (aluminium and magnesium hydroxide), erythromycin, ketoconazole, spirinolactone, cimetidine, oral contraceptives, digoxin, fenofibrate NPRA Safety Alert 1. 19 Feb 2024 (Statins) Interaction with Ticagrelor Leading to Increased Risk of Rhabdomyolysis","Monitor renal and liver function. Predisposing factors for myopathy such as renal impairment, advanced age, hypothyroidism. Acute serious conditions suggestive of myopathy or predisposing to the development of renal failure secondary to rhabdomyolysis. Concurrent use of fibrates may cause severe myositis and myoglobinuria, concurrent use of other lipid-lowering therapies including gemfibrozil may increase the risk of myopathy NPRA Safety Alert 1. 18 Jul 2023 (Statins) Risk of Inducing or Aggravating Myasthenia Gravis 2. 27 May 2025 (Statins) Myasthenia Gravis / Ocular Myasthenia",True
Influenza Vaccine (Inactivated) Injection,Vaxigrip Tetra,Antiinfectives for Systemic Use > Vaccines,J07BB02963P30XXXX,Yes,Government Contract,B,i) Prophylaxis of influenza for frontliners (KKM staff and essential services personnel). ii) Prophylaxis of influenza in high risk groups. Refer to current recommendation by WHO for selection of product of inactivated influenza vaccines.,B,0.25ml to 1.0ml by IM. Dosing is according to product insert and WHO recommendations.,"Transient thrombocytopenia, transient lymphadenopathy, allergic reactions, neuralgia, paraesthesia, febrile convulsions, neurological disorders (such as encephalomyelitis, Guillain-BarrÈ Syndrome), vasculitis, generalized skin reactions.","Hypersensitivity to any components of the vaccine, eggs, chicken proteins, neomycin, formaldehyde and octocinol 9.",Immunosuppressive drugs.,"Serious acute febrile, bleeding disorders, on anticoagulant therapy, active neurologic disorder, patients known to have experienced Guillain-Barre syndrome within 6 to 8 weeks after a previous influenza vaccination.",False
Insulin Detemir 100 IU/ml Injection in Prefilled syringe/cartridge,Levemir,Alimentary Tract and Metabolism > Drugs Used In Diabetes,A10AE05000P5001XX,Yes,Government Contract,A/KK,"i)Type 1 Diabetes patients on basal bolus regimen, whom experience hypoglycaemia with conventional insulin, to be used in combination with rapid or short-acting insulin. ii)Type 2 Diabetes patients on oral anti-diabetics and basal insulin regimen or basal bolus insulin regimen whom experience hypoglycaemia with conventional basal insulin.","5 PT (KKS, KKTPG, KKJ, KKBC, KKTS), 10 PT (KKTD, KKB) (KUOTA)","Individualized dose given via SC once or twice daily. Initiate at a dose of 10IU or 0.1-0.2IU/kg. For twice daily dosing, the evening dose can be administered either with the evening meal, at bedtime, or 12 hours after the morning dose.","Hypoglycaemia, allergic reactions, lipodystrophy, pruritus, rash, mild injection site reactions, oedema, weight gain.","Hypersensitivity to insulin detemir or any of its excipients, hypoglycemia","Oral antidiabetics, MAOIs, nonselective β-blockers, ACE inhibitors, salicylates, alcohol, thiazides, glucocorticoids, β-sympathomimetics, thyroid & growth hormones, danazol, octreotide/lanreotide.","Monitor glucose levels in elderly and patients with renal or hepatic impairment. Transferring from other insulin types should be done under strict medical supervision. Concomitant illness especially infection usually increase insulin requirement. Do not administer intravenously. Risk of hyper/hypoglycemia during therapy. Pregnancy and lactation, children.",True
Nicotine 10mg/16hr Transdermal Patch,Nicorette Patch,Nervous System > Other Nervous System Drugs,N07BA01000M7005XX,Yes,LP,A/KK,"For the treatment of tobacco dependence by relieving nicotine withdrawal symptoms, thereby facilitating smoking cessation in smokers motivated to quit.",None,The patch should be apply to an intact area of the skin upon waking up in the morning and removed at bedtime. Heavy smoker (those smoking 15 or more cigarettes in a 24-hour period): Step 1: 25mg/16 hours patch and use one patch daily for 8 weeks. Step 2: One 15mg/16hours patch should be daily for 2 weeks Step 3: One 10mg/16 hours patch daily for 2 weeks. Light smokers (those smoking less than 15 cigarettes in a 24-hour period): Step 1: 15mg/16hours patch for 8 weeks Step 2: 10mg/16hours for the final 4 weeks. Combination therapy with the patch (Flexible smoking cessation format) for fast relief of cravings in: i) Highly dependent smokers; or ii) Smokers who experience breakthrough cravings; or iii) Those who have failed single NRT treatment,"Mild skin reactions, erythema, itching, oedema and aphtous ulcers, headache, dizziness, nausea and vomiting, palpitations.",- Hypersensitivity to nicotine or any other product component. - Patients with recent myocardial infarct; unstable or worsening angina pectoris; - Prinzmetal's angina; severe cardiac arrhythmias; acute stroke. - Pregnancy and lactation. - Children below 18 years old.,"- Paracetamol, caffeine, imipramine, oxazepam, pentazocine, propranolol, theophylline, warfarin, oestrogens, lignocaine, phenacetin; may require a decrease in dose at cessation of smoking due to the de-induction of hepatic enzymes on smoking cessation. - Subcutaneous insulin absorption may increase with smoking cessation. - Adrenergic antagonists (eg. prazosin, labetalol); decrease in circulating catecholamines with smoking cessation. - Adrenergic agonists (eg. isoprenaline, phenylephrine); may require an increase in dose at cessation of smoking due to a decrease in circulating catecholamines with smoking cessation. - Other effects, associated with smoking, include reduced analgesic efficacy with propoxyphene, reduced diuretic response to frusemide and reduced rates of ulcer healing with H2-antagonists.","- Patients with chronic generalised dermatological disorders eg, psoriasis, chronic dermatitis or urticaria should not use the patch. - Patients with severe cardiovascular disease (eg, occlusive peripheral arterial disease, cerebrovascular disease, stable angina pectoris and heart failure), vasospasms, uncontrolled hypertension, severe hepatic and/or renal impairment, active duodenal and gastric ulcer. - Patients with diabetes mellitus, hyperthyroidism or pheochromocytoma, since nicotine causes the release of catecholamines from the adrenal medulla",True
Vitamin B Complex Tablet,-,Alimentary Tract and Metabolism > Vitamins,A11EA00901T1001XX,No,APPL,C+,Prophylaxis and treatment of vitamin B deficiency,None,1-2 tablets daily,Skin rashes or itching in allergic persons. Nicotanamide in large doses may cause liver disease and active peptic ulcer.,Sensitivity to thiamine and nicotinamide.Nicotanamide in large doses may cause liver disease and active peptic ulcer. Thiamine: Weniche's encephalopathy.,Alcohol may inhibit absorption of these vitamins,Not for treatment of pernicious anaemia or other megaloblastic anaemias where vitamin B12 is deficient,False
"Ferrous controlled release 525 mg, Vitamin B1, Vitamin B2, Vitamin B6, Vitamin B12, Vitamin C, Niacinamide, Calcium Pantothenate, Folic Acid 800 mcg Tablet",Iberet-Folic-500,Blood and Blood Forming Organs > Antianemic Preparations,B03AE10903T1001XX,Yes,Government Contract,A/KK,"Anemia due to iron deficiency, megaloblastic anemia where there is an associated deficiency of Vitamin C and Vitamin B-complex particularly in pregnancy. In primary health clinic, the indication is restricted to anemia due to iron deficiency in pregnant women ONLY.",None,One tablet daily,"Rare, occasionally with nausea, vomiting, constipation or diarrhea, gastric pain at high doses","Patients with hypersensitivity to any of the ingredients of this drug, patients with thalassemia, sideroblastic anemia, hemochromatosis, and hemosiderosis. Should not be used in paediatric patients and also contraindicated in the rare instance of hypersensitivity to folic acid",Magnesium trisilicate and antacid which contains carbonate will inhibit the absorption of iron. Ferrous sulfate affects tetracycline absorption. Levodopa may produce reversed effect due to pyridoxine. Administration with milk or egg may inhibit the absorption of iron.,Folic acid alone is improper therapy in the treatment of pernicious anemia and other megaloblastic anemia where vitamin B12 is deficient. There is the possibility of dark feces. Not suitable to patients who received repeated blood transfusion or non-iron deficiency anemia. Long-term usage may cause iron accumulation. Use in the elderly: Elderly people who have tendency of vitamin B12 deficiency must have regular monitoring of vitamin B12 serum concentration while taking this drug.,True
Allopurinol 300 mg Tablet,Zyloric,Musculo-skeletal System > Antigout Preparations,M04AA01-000-T10-01XXX,Yes,APPL,A/KK,i) Frequent and disabling attacks of gouty arthritis (2 or more attacks/year). ii) Clinical or radiographic signs of erosive gouty arthritis. iii) The presence of tophaceous deposits. iv) Urate nephropathy. v) Urate nephrolithiasis. vi) Impending cytotoxic chemotherapy or radiotherapy for lymphoma or leukaemia,-,Initial dose: 50-100 mg daily. Maintenance: 300-900mg daily (depending on renal function).,"Skin rash, maculopapular, pruritic, Stevens-Johnson Syndrome, peripheral neuritis, alopecia, GI upset, toxic epidermal necrolysis. Acute attack of gouty arthritis in early stages of therapy. Skin reactions (discontinue immediately at first sign of rash). Very rarely, granulomatous hepatitis. Occasionally; thrombocytopenia, agranulocytosis, & aplastic anaemia in patients with impaired renal function","Hypersensitivity to allopurinol, pregnancy, lactation, acute gout, asymptomatic hyperuricaemia","Oral anticoagulants, azathioprine, antidiabetics, mercaptopurine.Use only quarter of the usual dose of 6-mercaptopurine or azathioprine when given concurrently. Increases plasma half-life of adenine arabinoside. Effects decreased by uricosurics & large doses of salicylates","Renal/hepatic dysfunction, asymptomatic hyperuricaemia, Hypersensitivity and pregnancy",True
Nevirapine 200mg Tablet,,Antiinfectives for Systemic Use > Antivirals for Systemic Use,J05AG01-000-T10-01-XXX,Yes,APPL,A/KK,Treatment of HIV-1 infection in combination with other antiretroviral agents,None,"Combined with other antiretrovirals: 200 mg once daily for the 1st 14 days; up to 200 mg twice daily if rash does not develop. Re-introduce at a lower dose for the 1st 14 days if treatment is interrupted for >7 days,necessitate reintroduction at a lower dose for the first 14 days.","Hepatitis, hepatic failure (life threatening), hepatotoxicity, severe skin reaction, headache, fatique, diarrhoea, nausea, rash","Hypersensitivity to nevirapine or any component of the formulation, breast feeding, severe hepatic impairment","Methadone, rifampicin, ketoconazole, other antivirals such as saquinaxir, indinavir, St. John's wort, warfarin",Pregnancy. Interrupt treatment if severe hepatotoxicity or life-threatening skin reactions develop. Renal or hepatic insufficiency. Monitor liver function periodically. Avoid use in patients with CD4 cell counts more than 250 cells/mm3 in adult women and 400 cells/mm3 in adult men.,True
Zidovudine 300mg & Lamivudine 150mg Tablet,Combivir,Antiinfectives for Systemic Use > Antivirals for Systemic Use,J05AR01-964-T10-01-XXX,Yes,APPL,A/KK,HIV infection in combination with at least one other antiretroviral drug,None,ADULT and CHILD over 12 years: 1 tablet twice daily,"Nausea, vomiting, diarrhoea, abdominal pain, cough; headache, fatigue, insomnia, malaise, fever, rash, alopecia, muscle disorders, peripheral neuropathy, pancreatitis, neutropenia, anaemia, thrombocytopenia and red-cell aplasia, lactic acidosis, raised liver enzymes and serum amylase, somnolence, dizziness, sweating, dyspnoea, dyspepsia, flatulence, bad taste, chest pain, loss of mental acuity, anxiety, urinary frequency, depression, generalised pain, chills, urticaria, pruritus and flu-like syndrome.","Abnormally low neutrophil cell count (less than 0.75 x 109/L) or abnormally low Hb levels (less than 7.5 g/dL). Hypersensitivity to zidovudine. New born infants with hyperbilirubinaemia requiring treatment other than phototherapy, or increased transaminase levels of over five times than the upper limit of normal.","Trimethoprim, phenytoin, paracetamol, aspirin, codeine, morphine, indomethacin, ketoprofen, naproxen, oxazepam, lorazepam, cimetidine, clofibrate, dapsone and isoprinosine, potentially nephrotoxic or myelosuppressive drugs, ribavirin",Advanced cirrhotic liver disease due to chronic hepatitis B infection. Severe hepatic or renal impairment. Monitor haematological parameters. Pregnancy and lactation.,True
Tenofovir Disoproxil Fumarate 300 mg & Emtricitabine 200 mg Tablet,,Antiinfectives for Systemic Use > Antivirals for Systemic Use,J05AR03-964-T10-01-XXX,Yes,APPL,A/KK,i. Treatment of HIV-1 infection in adults in combination with other antiretroviral agents (such as non-nucleoside reverse transcriptase inhibitors or protease inhibitors). ii. Indicated in combination with safer sex practices for pre-exposure prophylaxis (PrEP) to reduce the risk of sexually acquired HIV-1 infection in adults at high risk.,"Indication (ii): i. To prescribe Emtricitabine/Tenofovir Disoproxil as part of a comprehensive prevention strategy ii. All uninfected individuals must be counselled to strictly adhere to the recommended Emtricitabine/Tenofovir Disoproxil dosing schedule iii. A negative HIV-1 test must be confirmed immediately prior to initiating Emtricitabine/Tenofovir Disoproxil. If clinical symptoms consistent with acute viral infection are present and recent (<1 month) exposures are suspected, starting of PrEP must be delayed for at least one month and HIV-1 status need to be reconfirmed, including acute or primary HIV-1 infection; and iv. To screen HIV-1 infection at least once every 3 months while taking Emtricitabine/Tenofovir Disoproxil for PrEP.",1 tablet once daily.,"Nausea, vomiting, diarrhoea, abdominal pain, dyspepsia, flatulence, pain, hypersensitivity, increased pigmentation, asthenia, osteonecrosis, osteomalacia, metabolic abnormalities (e.g. hyperglycaemia, insulin resistance, hypercholesterolaemia, hypertriglyceridaemia, hyperlactataemia), lipodystrophy, elevated lipase, amylase, creatine kinase or transaminases levels, hyperbilirubinaemia, insomnia, abnormal dreams, neutropenia, anaemia, immune reactivation syndrome, renal impairment, acute renal failure, fanconi syndrome.",Hypersensitivity to tenofovir or emricitabine.,"Increased plasma level of tenofovir and reduced plasma levels of other agent: atazanavir, lopinavir (both have to be co-administered with ritonavir). Increased adverse events of other agent: didanosine. Increased risk of nephrotoxicity when used with other nephrotoxic agents (e.g. aminoglycosides, vancomycin, etc). Increased plasma level when used with other agents excreted renally by active tubular secretion (e.g. probenecid).","Liver impairment; caution in Hepatitis B virus (HBV) coinfection, may result in severe and acute exacerbation or flare up of hepatitis on discontinuation of treatment. Renal impairment; dosing adjustment required in CrCl < 50ml/min, not recommended if CrCl < 30ml/min. Avoid co-administration of nephrotoxic agents. Lactation, avoid breast feeding. Avoid co-administration of lamivudine.",True
